Occupation,M_workers,F_workers,All_workers,Male Percentage,Female Percentage
MANAGEMENT,7332,5147,12479,58.75470791,41.24529209
Chief executives,763,283,1046,72.94455067,27.05544933
General and operations managers,621,202,823,75.45565006,24.54434994
Legislators,5,4,9,55.55555556,44.44444444
Advertising and promotions managers,29,26,55,52.72727273,47.27272727
Marketing and sales managers,570,378,948,60.12658228,39.87341772
Public relations and fundraising managers,24,35,59,40.6779661,59.3220339
Administrative services managers,96,73,169,56.80473373,43.19526627
Computer and information systems managers,466,169,635,73.38582677,26.61417323
Financial managers,551,573,1124,49.02135231,50.97864769
Compensation and benefits managers,7,16,23,30.43478261,69.56521739
Human resources managers,68,186,254,26.77165354,73.22834646
Training and development managers,17,20,37,45.94594595,54.05405405
Industrial production managers,221,45,266,83.08270677,16.91729323
Purchasing managers,109,84,193,56.47668394,43.52331606
"Transportation, storage, and distribution managers",224,52,276,81.15942029,18.84057971
"Farmers, ranchers, and other agricultural managers",106,23,129,82.17054264,17.82945736
Construction managers,429,42,471,91.08280255,8.917197452
Education administrators,282,496,778,36.24678663,63.75321337
Architectural and engineering managers,101,10,111,90.99099099,9.009009009
Food service managers,389,374,763,50.98296199,49.01703801
Funeral service managers,10,2,12,83.33333333,16.66666667
Gaming managers,13,6,19,68.42105263,31.57894737
Lodging managers,54,68,122,44.26229508,55.73770492
Medical and health services managers,154,438,592,26.01351351,73.98648649
Natural sciences managers,11,13,24,45.83333333,54.16666667
Postmasters and mail superintendents,10,10,20,50,50
"Property, real estate, and community association managers",171,230,401,42.64339152,57.35660848
Social and community service managers,105,200,305,34.42622951,65.57377049
Emergency management directors,6,3,9,66.66666667,33.33333333
"Managers, all other",1717,1085,2802,61.27765882,38.72234118
BUSINESS,2686,3256,5942,45.20363514,54.79636486
"Agents and business managers of artists, performers, and athletes",13,14,27,48.14814815,51.85185185
"Buyers and purchasing agents, farm products",9,2,11,81.81818182,18.18181818
"Wholesale and retail buyers, except farm products",73,69,142,51.4084507,48.5915493
"Purchasing agents, except wholesale, retail, and farm products",136,124,260,52.30769231,47.69230769
"Claims adjusters, appraisers, examiners, and investigators",141,176,317,44.47949527,55.52050473
Compliance officers,126,109,235,53.61702128,46.38297872
Cost estimators,83,12,95,87.36842105,12.63157895
Human resources workers,151,441,592,25.50675676,74.49324324
"Compensation, benefits, and job analysis specialists",12,50,62,19.35483871,80.64516129
Training and development specialists,42,65,107,39.25233645,60.74766355
Logisticians,66,44,110,60,40
Management analysts,291,237,528,55.11363636,44.88636364
"Meeting, convention, and event planners",27,90,117,23.07692308,76.92307692
Fundraisers,14,48,62,22.58064516,77.41935484
Market research analysts and marketing specialists,85,118,203,41.87192118,58.12807882
"Business operations specialists, all other",74,112,186,39.78494624,60.21505376
Accountants and auditors,618,846,1464,42.21311475,57.78688525
Appraisers and assessors of real estate,21,21,42,50,50
Budget analysts,17,28,45,37.77777778,62.22222222
Credit analysts,8,9,17,47.05882353,52.94117647
Financial analysts,168,127,295,56.94915254,43.05084746
Personal financial advisors,248,159,407,60.93366093,39.06633907
Insurance underwriters,44,63,107,41.12149533,58.87850467
Financial examiners,9,8,17,52.94117647,47.05882353
Credit counselors and loan officers,146,166,312,46.79487179,53.20512821
"Tax examiners and collectors, and revenue agents",20,39,59,33.89830508,66.10169492
Tax preparers,19,37,56,33.92857143,66.07142857
"Financial specialists, all other",25,40,65,38.46153846,61.53846154
COMPUTATIONAL,3036,973,4009,75.72960838,24.27039162
Computer and information research scientists,23,5,28,82.14285714,17.85714286
Computer systems analysts,325,173,498,65.26104418,34.73895582
Information security analysts,56,11,67,83.58208955,16.41791045
Computer programmers,357,93,450,79.33333333,20.66666667
"Software developers, applications and systems software",1054,232,1286,81.95956454,18.04043546
Web developers,98,53,151,64.90066225,35.09933775
Computer support specialists,291,105,396,73.48484848,26.51515152
Database administrators,58,32,90,64.44444444,35.55555556
